combo,rep,A_quant,B_batch,C_cpu_pct,D_mem_gb,y1_latency_ms,y2_cv_pct
1,1,Q6K,1,10,0,3313.825,3.2798
1,2,Q6K,1,10,0,3326.719,3.2798
1,3,Q6K,1,10,0,3375.524,3.2798
1,4,Q6K,1,10,0,3529.68,3.2798
1,5,Q6K,1,10,0,3434.081,3.2798
1,6,Q6K,1,10,0,3441.302,3.2798
1,7,Q6K,1,10,0,3441.803,3.2798
1,8,Q6K,1,10,0,3461.066,3.2798
1,9,Q6K,1,10,0,3557.288,3.2798
1,10,Q6K,1,10,0,3620.496,3.2798
1,11,Q6K,1,10,0,3444.343,3.2798
1,12,Q6K,1,10,0,3507.979,3.2798
1,13,Q6K,1,10,0,3735.462,3.2798
1,14,Q6K,1,10,0,3488.599,3.2798
1,15,Q6K,1,10,0,3529.023,3.2798
1,16,Q6K,1,10,0,3655.12,3.2798
1,17,Q6K,1,10,0,3484.215,3.2798
1,18,Q6K,1,10,0,3735.904,3.2798
1,19,Q6K,1,10,0,3511.371,3.2798
1,20,Q6K,1,10,0,3527.55,3.2798
2,1,Q6K,2,40,2,3622.814,33.733
2,2,Q6K,2,40,2,3526.606,33.733
2,3,Q6K,2,40,2,3426.263,33.733
2,4,Q6K,2,40,2,3435.056,33.733
2,5,Q6K,2,40,2,3600.591,33.733
2,6,Q6K,2,40,2,3691.629,33.733
2,7,Q6K,2,40,2,3494.893,33.733
2,8,Q6K,2,40,2,3429.177,33.733
2,9,Q6K,2,40,2,4328.212,33.733
2,10,Q6K,2,40,2,8103.974,33.733
2,11,Q6K,2,40,2,9434.246,33.733
2,12,Q6K,2,40,2,6025.077,33.733
2,13,Q6K,2,40,2,6428.737,33.733
2,14,Q6K,2,40,2,6898.919,33.733
2,15,Q6K,2,40,2,6924.339,33.733
2,16,Q6K,2,40,2,6591.108,33.733
2,17,Q6K,2,40,2,5891.444,33.733
2,18,Q6K,2,40,2,5922.557,33.733
2,19,Q6K,2,40,2,5962.818,33.733
2,20,Q6K,2,40,2,5438.62,33.733
3,1,Q6K,4,70,4,9308.89,17.3161
3,2,Q6K,4,70,4,7445.188,17.3161
3,3,Q6K,4,70,4,6929.573,17.3161
3,4,Q6K,4,70,4,9480.76,17.3161
3,5,Q6K,4,70,4,6928.499,17.3161
3,6,Q6K,4,70,4,6768.498,17.3161
3,7,Q6K,4,70,4,7902.33,17.3161
3,8,Q6K,4,70,4,8167.703,17.3161
3,9,Q6K,4,70,4,8488.342,17.3161
3,10,Q6K,4,70,4,7260.709,17.3161
3,11,Q6K,4,70,4,5902.48,17.3161
3,12,Q6K,4,70,4,7167.751,17.3161
3,13,Q6K,4,70,4,7747.051,17.3161
3,14,Q6K,4,70,4,8537.864,17.3161
3,15,Q6K,4,70,4,7706.307,17.3161
3,16,Q6K,4,70,4,8935.666,17.3161
3,17,Q6K,4,70,4,6970.488,17.3161
3,18,Q6K,4,70,4,6509.447,17.3161
3,19,Q6K,4,70,4,6034.017,17.3161
3,20,Q6K,4,70,4,4020.887,17.3161
4,1,Q4KM,1,40,4,5072.916,7.9578
4,2,Q4KM,1,40,4,6572.735,7.9578
4,3,Q4KM,1,40,4,4868.836,7.9578
4,4,Q4KM,1,40,4,5355.09,7.9578
4,5,Q4KM,1,40,4,4960.463,7.9578
4,6,Q4KM,1,40,4,5195.484,7.9578
4,7,Q4KM,1,40,4,4866.614,7.9578
4,8,Q4KM,1,40,4,4878.075,7.9578
4,9,Q4KM,1,40,4,4830.529,7.9578
4,10,Q4KM,1,40,4,4858.246,7.9578
4,11,Q4KM,1,40,4,4837.053,7.9578
4,12,Q4KM,1,40,4,4816.743,7.9578
4,13,Q4KM,1,40,4,4844.483,7.9578
4,14,Q4KM,1,40,4,4864.697,7.9578
4,15,Q4KM,1,40,4,4900.249,7.9578
4,16,Q4KM,1,40,4,4807.609,7.9578
4,17,Q4KM,1,40,4,4853.492,7.9578
4,18,Q4KM,1,40,4,4858.771,7.9578
4,19,Q4KM,1,40,4,4785.603,7.9578
4,20,Q4KM,1,40,4,4854.127,7.9578
5,1,Q4KM,2,70,0,6760.899,6.6573
5,2,Q4KM,2,70,0,5278.211,6.6573
5,3,Q4KM,2,70,0,5246.203,6.6573
5,4,Q4KM,2,70,0,5202.543,6.6573
5,5,Q4KM,2,70,0,5252.29,6.6573
5,6,Q4KM,2,70,0,5404.06,6.6573
5,7,Q4KM,2,70,0,5233.988,6.6573
5,8,Q4KM,2,70,0,5263.503,6.6573
5,9,Q4KM,2,70,0,5530.887,6.6573
5,10,Q4KM,2,70,0,5225.585,6.6573
5,11,Q4KM,2,70,0,5224.495,6.6573
5,12,Q4KM,2,70,0,5260.711,6.6573
5,13,Q4KM,2,70,0,5230.904,6.6573
5,14,Q4KM,2,70,0,5250.594,6.6573
5,15,Q4KM,2,70,0,5353.863,6.6573
5,16,Q4KM,2,70,0,5873.754,6.6573
5,17,Q4KM,2,70,0,5487.754,6.6573
5,18,Q4KM,2,70,0,5274.969,6.6573
5,19,Q4KM,2,70,0,5256.836,6.6573
5,20,Q4KM,2,70,0,5219.426,6.6573
6,1,Q4KM,4,10,2,4840.945,20.6008
6,2,Q4KM,4,10,2,4943.594,20.6008
6,3,Q4KM,4,10,2,4818.672,20.6008
6,4,Q4KM,4,10,2,5078.012,20.6008
6,5,Q4KM,4,10,2,4761.53,20.6008
6,6,Q4KM,4,10,2,5784.282,20.6008
6,7,Q4KM,4,10,2,5265.953,20.6008
6,8,Q4KM,4,10,2,5033.604,20.6008
6,9,Q4KM,4,10,2,5251.206,20.6008
6,10,Q4KM,4,10,2,5195.587,20.6008
6,11,Q4KM,4,10,2,3862.168,20.6008
6,12,Q4KM,4,10,2,3488.356,20.6008
6,13,Q4KM,4,10,2,4443.529,20.6008
6,14,Q4KM,4,10,2,4566.947,20.6008
6,15,Q4KM,4,10,2,4446.24,20.6008
6,16,Q4KM,4,10,2,4530.086,20.6008
6,17,Q4KM,4,10,2,4628.111,20.6008
6,18,Q4KM,4,10,2,2642.983,20.6008
6,19,Q4KM,4,10,2,2780.765,20.6008
6,20,Q4KM,4,10,2,2563.407,20.6008
7,1,Q2K,1,70,2,2822.415,12.6168
7,2,Q2K,1,70,2,2843.074,12.6168
7,3,Q2K,1,70,2,2904.757,12.6168
7,4,Q2K,1,70,2,2967.571,12.6168
7,5,Q2K,1,70,2,2896.857,12.6168
7,6,Q2K,1,70,2,2926.114,12.6168
7,7,Q2K,1,70,2,2924.265,12.6168
7,8,Q2K,1,70,2,2944.788,12.6168
7,9,Q2K,1,70,2,2953.649,12.6168
7,10,Q2K,1,70,2,2917.164,12.6168
7,11,Q2K,1,70,2,2961.548,12.6168
7,12,Q2K,1,70,2,2932.585,12.6168
7,13,Q2K,1,70,2,2929.994,12.6168
7,14,Q2K,1,70,2,2991.778,12.6168
7,15,Q2K,1,70,2,2934.542,12.6168
7,16,Q2K,1,70,2,2946.599,12.6168
7,17,Q2K,1,70,2,2957.157,12.6168
7,18,Q2K,1,70,2,2949.74,12.6168
7,19,Q2K,1,70,2,4585.837,12.6168
7,20,Q2K,1,70,2,3417.278,12.6168
8,1,Q2K,2,10,4,2331.271,29.2024
8,2,Q2K,2,10,4,2561.38,29.2024
8,3,Q2K,2,10,4,2589.408,29.2024
8,4,Q2K,2,10,4,2419.916,29.2024
8,5,Q2K,2,10,4,2608.691,29.2024
8,6,Q2K,2,10,4,2433.071,29.2024
8,7,Q2K,2,10,4,2460.389,29.2024
8,8,Q2K,2,10,4,2426.718,29.2024
8,9,Q2K,2,10,4,2443.116,29.2024
8,10,Q2K,2,10,4,2470.596,29.2024
8,11,Q2K,2,10,4,2478.608,29.2024
8,12,Q2K,2,10,4,2516.105,29.2024
8,13,Q2K,2,10,4,2585.291,29.2024
8,14,Q2K,2,10,4,2672.375,29.2024
8,15,Q2K,2,10,4,2606.628,29.2024
8,16,Q2K,2,10,4,2573.639,29.2024
8,17,Q2K,2,10,4,2503.726,29.2024
8,18,Q2K,2,10,4,2975.462,29.2024
8,19,Q2K,2,10,4,4974.446,29.2024
8,20,Q2K,2,10,4,5324.682,29.2024
9,1,Q2K,4,40,0,3344.11,27.4256
9,2,Q2K,4,40,0,2980.883,27.4256
9,3,Q2K,4,40,0,2704.994,27.4256
9,4,Q2K,4,40,0,2633.772,27.4256
9,5,Q2K,4,40,0,2648.89,27.4256
9,6,Q2K,4,40,0,2647.561,27.4256
9,7,Q2K,4,40,0,2664.93,27.4256
9,8,Q2K,4,40,0,3048.968,27.4256
9,9,Q2K,4,40,0,2659.318,27.4256
9,10,Q2K,4,40,0,2729.362,27.4256
9,11,Q2K,4,40,0,2655.945,27.4256
9,12,Q2K,4,40,0,2762.623,27.4256
9,13,Q2K,4,40,0,3162.887,27.4256
9,14,Q2K,4,40,0,5262.337,27.4256
9,15,Q2K,4,40,0,4781.683,27.4256
9,16,Q2K,4,40,0,4969.905,27.4256
9,17,Q2K,4,40,0,4428.932,27.4256
9,18,Q2K,4,40,0,3914.585,27.4256
9,19,Q2K,4,40,0,3844.165,27.4256
9,20,Q2K,4,40,0,4996.14,27.4256
